code,kind,name,price,comment,score,province,city,star
tehran-markazi-e-iran,hotel,هتل مرکزی ایران,۳۶۰۰۰۰,(۳),۲.۵,تهران,تهران,(۲ ستاره)
8b47a060c0,hotel,هتل ستیا,۴۵۵۰۰۰,(۲),۵,تهران,تهران,(۱ ستاره)
tehran-ferdowsi,hotel,هتل فردوسی,۶۰۶۰۰۰,(۳),۴.۱,تهران,تهران,(۴ ستاره)
tehran-asare,hotel,هتل آساره,۵۵۰۰۰۰,(۱۶),۳.۷,تهران,تهران,(۴ ستاره)
tehran-wisteria,hotel,هتل ویستریا,۷۵۰۰۰۰,(۵),۳.۸,تهران,تهران,(۵ ستاره)
tehran-shahriar,hotel,هتل شهریار,۲۶۴۰۰۰,(۳),۳.۴,تهران,تهران,(۲ ستاره)
tehran-taajmahal,hotel,هتل آپارتمان تاج محل,۹۴۰۰۰۰,(۵),۴.۱,تهران,تهران,(۵ ستاره)
tehran-laleh,hotel,هتل بین المللی لاله,۴۰۵۰۰۰,(۴۱),۳.۶,تهران,تهران,(۵ ستاره)
tehran-esteghlal,hotel,هتل استقلال,۶۰۰۰۰۰,(۹۶),۳.۵,تهران,تهران,(۵ ستاره)
tehran-enghelab,hotel,هتل پارسیان انقلاب,۳۹۵۰۰۰,(۵۱),۳.۱,تهران,تهران,(۴ ستاره)
shemshak-jahangardi,hotel,هتل جهانگردی,۴۶۳۰۰۰,(۱),۴.۲,تهران,شمشک,(۳ ستاره)
fbdd7e998a,hotel,هتل تابش,۱۳۰۰۰۰,(۲),۴.۲,خراسان رضوی,مشهد,(۱ ستاره)
mashhad-noor,hotel,هتل نور,۳۳۰۰۰۰,(۲),۴.۲,خراسان رضوی,مشهد,(۳ ستاره)
mashhad-ghasr-talai,hotel,هتل قصر طلایی,۷۲۲۰۰۰,(۶۵),۴.۳,خراسان رضوی,مشهد,(۵ ستاره)
mashhad-madineh-reza,hotel,هتل مدینه الرضا,۷۸۰۰۰۰,(۵۲),۳.۸,خراسان رضوی,مشهد,(۵ ستاره)
mashhad-parkhayat,hotel,هتل پارک حیات,۵۰۱۰۰۰,(۱۶),۴.۳,خراسان رضوی,مشهد,(۵ ستاره)
mashhad-yalda,hotel,هتل یلدا,۱۳۰۰۰۰,(۱۴),۳.۶,خراسان رضوی,مشهد,(۲ ستاره)
mashhad-almas2,hotel,هتل الماس ۲,۷۷۰۰۰۰,(۱۶۱),۴,خراسان رضوی,مشهد,(۵ ستاره)
mashhad-kowsar,hotel,هتل کوثر,۲۳۰۰۰۰,,,خراسان رضوی,مشهد,(۲ ستاره)
mashhad-sahand2,hotel,هتل سهند ۲,۱۳۰۰۰۰,(۳۷),۴.۲,خراسان رضوی,مشهد,(۱ ستاره)
mashhad-helma,hotel,هتل حلما,۳۲۰۰۰۰,(۳۳),۴,خراسان رضوی,مشهد,(۳ ستاره)
mashhad-firoozetoos,hotel,هتل فیروزه توس,۲۳۰۰۰۰,,,خراسان رضوی,مشهد,(۳ ستاره)
948f3e29af,hotel,هتل جمالی,۹۸۰۰۰,(۲۸),۳.۲,خراسان رضوی,مشهد,(۱ ستاره)
mashhad-javad,hotel,هتل جواد,۴۹۰۰۰۰,(۱۵),۴.۱,خراسان رضوی,مشهد,(۴ ستاره)
mashhad-parsis,hotel,هتل پارسیس,۳۳۳۰۰۰,(۳۶),۳.۸,خراسان رضوی,مشهد,(۵ ستاره)
