code,kind,name,price,comment,score,province,city,star
kelardasht-baranesabz,hotel,هتل باران سبز,,,,مازندران,کلاردشت,(۳ ستاره)
saari-asram,hotel,هتل اسرم,,(۶),۳.۲,مازندران,ساری,(۳ ستاره)
kelardasht-maral,hotel,هتل مارال,,,,مازندران,کلاردشت,(۳ ستاره)
ramsar-shayan,hotel,هتل شایان,,(۷),۴,مازندران,رامسر,(۲ ستاره)
noshahr-sadaf,hotel,هتل صدف,,(۴),۱.۹,مازندران,نوشهر,(۳ ستاره)
684c858223,hotel,هتل باغ سرهنگ,,(۲),۳,مازندران,بابل,(۱ ستاره)
chalus-malek,hotel,هتل ملک,,(۱۰),۲.۹,مازندران,چالوس,(۳ ستاره)
laar-jahangardi,hotel,هتل جهانگردی,,(۴),۴.۶,مازندران,لار,(۳ ستاره)
chalus-jahangardi,hotel,هتل جهانگردی چالوس,,(۳),۴.۱,مازندران,چالوس,(۲ ستاره)
noshahr-jahangardi,hotel,هتل جهانگردی چلندر,,(۹),۲.۲,مازندران,نوشهر,(۲ ستاره)
amol-niloofar,hotel,هتل نیلوفر,,(۲),۳,مازندران,آمل,(۳ ستاره)
babolsar-shoka,hotel,هتل شوکا,,(۱),۵,مازندران,بابلسر,(۲ ستاره)
amol-olampic,hotel,هتل المپیک,,(۷),۴.۱,مازندران,آمل,(۳ ستاره)
babol-marjan,hotel,هتل مرجان,,(۷),۳.۱,مازندران,بابل,(۲ ستاره)
saari-navid,hotel,هتل نوید,,(۶),۲.۷,مازندران,ساری,(۴ ستاره)
behshahr-behshahr,hotel,هتل بهشهر,,(۱),۳,مازندران,بهشهر,(۲ ستاره)
chalus-kourosh,hotel,هتل کوروش,,(۱),۱.۴,مازندران,چالوس,(۳ ستاره)
tonekabon-chaldare,hotel,هتل چالدره,,(۵),۳.۱,مازندران,تنکابن,(۴ ستاره)
noor-negin,hotel,هتل نگین,,,,مازندران,نور,(۳ ستاره)
noor-narenjestan,hotel,هتل نارنجستان,,(۵),۲.۸,مازندران,نور,(۵ ستاره)
963a2503c7,hotel,هتل تنکا پارسه,,,,مازندران,تنکابن,(۱ ستاره)
babolsar-michka,hotel,هتل میچکا,,(۱۲),۳.۱,مازندران,بابلسر,(۲ ستاره)
khezershahr-jahangardi,hotel,هتل جهانگردی خزرشهر جنوبی,,,,مازندران,بابلسر,(۳ ستاره)
tonekabon-vesta,hotel,هتل وستا,,(۱),۵,مازندران,تنکابن,(۳ ستاره)
ramsar-eskan,hotel,هتل اسکان,,(۲۹),۴.۱,مازندران,رامسر,(۲ ستاره)
chaloos-narin,hotel,هتل نارین,,(۱),۳.۸,مازندران,چالوس,(۲ ستاره)
noor-ariyan,hotel,هتل آریان,,(۲),۱.۸,مازندران,نور,(۳ ستاره)
fereydoonkenar-hamyaran,hotel,هتل همیاران (ارم سابق),,(۲),۱.۸,مازندران,فریدون کنار,(۳ ستاره)
1178977e30,hotel,هتل آرزو,,,,مازندران,تنکابن,(۲ ستاره)
amol-shahr,hotel,هتل شهر,,(۱),۱.۴,مازندران,آمل,(۳ ستاره)
kelardasht-paniz,hotel,هتل پانیذ,,(۲),۲.۶,مازندران,کلاردشت,(۲ ستاره)
kimiya-ramsar,hotel,هتل کیمیا,,(۳),۳.۱,مازندران,رامسر,(۳ ستاره)
salmanshahr-lilium,hotel,هتل لیلیوم,,,,مازندران,متل قو,(۴ ستاره)
sari-aseman,hotel,هتل آسمان شهر,,,,مازندران,ساری,(۳ ستاره)
izadshahr-saheli shahr,hotel,هتل ساحلی شهر,,(۲),۴.۵,مازندران,ایزدشهر,(۱ ستاره)
mahmudabad-delmun,hotel,هتل دلمون,,(۱),۱,مازندران,محمودآباد,(۲ ستاره)
behshahr-morvaridsadra,hotel,هتل مروارید صدرا,,(۵),۳.۳,مازندران,بهشهر,(۴ ستاره)
ramsar-karen,hotel,هتل کارن,,(۸),۳.۷,مازندران,رامسر,(۲ ستاره)
toranj-ramsar,hotel,هتل  ترنج,,(۳),۴.۶,مازندران,رامسر,(۲ ستاره)
parsian azadi ramsar hotel,hotel,هتل پارسیان آزادی,,,,مازندران,رامسر,(۴ ستاره)
mazandaran-badeleh,hotel,هتل بادله,,(۹),۳.۸,مازندران,ساری,(۴ ستاره)
ramsar-kowsar,hotel,هتل کوثر,,(۱۰),۳.۵,مازندران,رامسر,(۳ ستاره)
mahmoudabad-morvarid,hotel,هتل مروارید خزر,,(۸),۳,مازندران,محمودآباد,(۵ ستاره)
parsian-kelardasht,hotel,هتل پارسیان,,,,مازندران,کلاردشت,(۳ ستاره)
tonekabon-sadra,hotel,هتل صدرا,,(۴),۳.۶,مازندران,تنکابن,(۳ ستاره)
 persia-nowshahr,hotel,هتل پرشیا,,,,مازندران,نوشهر,(۳ ستاره)
ramsar-lian,hotel,هتل لیان,,(۲),۱.۱,مازندران,رامسر,(۳ ستاره)
saari-narenj,hotel,هتل نارنج,,(۶),۳.۴,مازندران,ساری,(۳ ستاره)
ramsar-parsian,hotel,هتل بزرگ پارسیان آزادی,,(۵),۳.۸,مازندران,رامسر,(۴ ستاره)
save-kave,hotel,هتل کاوه,,(۱),۳,مرکزی,ساوه,(۴ ستاره)
arak-zagros,hotel,هتل زاگرس,,(۴),۲.۹,مرکزی,اراک,(۴ ستاره)
arak-amirkabir,hotel,هتل امیرکبیر,,(۱۴),۳.۹,مرکزی,اراک,(۵ ستاره)
tehran-markazi-e-iran,hotel,"هتل 
مرکزی
 ایران",,(۳),۲.۵,تهران,تهران,(۲ ستاره)
khomein-emam reza,hotel,هتل امام رضا,,(۱),۴.۶,مرکزی,خمین,(۳ ستاره)
delijan- homayesaadat,hotel,هتل همای سعادت,,(۵),۴.۱,مرکزی,دلیجان,(۵ ستاره)
mahallat-abdarmani,hotel,هتل آب درمانی,,,,مرکزی,محلات,(۳ ستاره)
arak-aftab,hotel,هتل آفتاب,,(۸),۳.۶,مرکزی,اراک,(۳ ستاره)
mahalat-aghsa,hotel,هتل اقصی,,(۳),۱.۷,مرکزی,محلات,(۴ ستاره)
arak-payam,hotel,هتل بین المللی پیام,,(۱۹),۳.۳,مرکزی,اراک,(۴ ستاره)
kish-marina-park,hotel,هتل مارینا پارک,,(۳۰),۳.۲,هرمزگان,کیش,(۵ ستاره)
kish-shayan,hotel,هتل شایان,,(۶۰),۳.۹,هرمزگان,کیش,(۵ ستاره)
kish-panorama,hotel,هتل پانوراما,,(۲۴),۴,هرمزگان,کیش,(۵ ستاره)
kish-international-kish,hotel,هتل  بین المللی  کیش,,(۱۳),۲.۸,هرمزگان,کیش,(۵ ستاره)
bandarabas-hormoz,hotel,هتل هرمز,,(۳۲),۳.۵,هرمزگان,بندر عباس,(۵ ستاره)
kish-aramis plus,hotel,هتل آرامیس پلاس,,(۵),۴.۶,هرمزگان,کیش,(۵ ستاره)
kish-grabd,hotel,هتل گراند,,(۱۱),۲.۸,هرمزگان,کیش,(۳ ستاره)
qeshm-iraman,hotel,هتل ایرمان,,(۱۶),۴.۲,هرمزگان,قشم,(۱ ستاره)
kish-jaamjam,hotel,هتل جام جم,,(۶۳),۳.۳,هرمزگان,کیش,(۳ ستاره)
kish-helia,hotel,هتل هلیا,,(۳),۲.۸,هرمزگان,کیش,(۳ ستاره)
bandarabas-khalijfars,hotel,هتل خلیج فارس,,,,هرمزگان,بندر عباس,(۵ ستاره)
kish-setareh,hotel,هتل ستاره,,(۳۰),۳.۲,هرمزگان,کیش,(۲ ستاره)
kish-aftab-shargh,hotel,هتل آفتاب شرق,,(۲۵),۳.۱,هرمزگان,کیش,(۳ ستاره)
gheshm-hani,hotel,هتل هانی,,(۱),۵,هرمزگان,قشم,(۴ ستاره)
gheshm-eram,hotel,هتل ارم,,(۱۰),۳.۱,هرمزگان,قشم,(۴ ستاره)
bandarabbas-iran,hotel,هتل ایران,,(۱۰),۳.۹,هرمزگان,بندر عباس,(۳ ستاره)
gheshm-diana,hotel,هتل دیانا پلاس,,(۱),۱.۶,هرمزگان,قشم,(۳ ستاره)
bandarabbas-apadana,hotel,هتل آپادانا,,(۱۶),۴.۲,هرمزگان,بندر عباس,(۲ ستاره)
naz-bandarabas,hotel,هتل ناز ۲,,(۳),۲.۲,هرمزگان,بندر عباس,(۲ ستاره)
qeshm-marina2,hotel,هتل مارینا ۲,,(۳),۳.۱,هرمزگان,قشم,(۳ ستاره)
be46ecb3c3,hotel,هتل جهانگردی میناب,,,,هرمزگان,میناب,(۲ ستاره)
qeshm-arka,hotel,هتل آرکا,,(۲),۱.۷,هرمزگان,قشم,(۳ ستاره)
gheshm-reihan,hotel,هتل ریحان,,(۱۵),۳.۵,هرمزگان,قشم,(۳ ستاره)
gheshm-morvarid,hotel,هتل مروارید,,(۳),۳.۳,هرمزگان,قشم,(۱ ستاره)
kish-sunrise,hotel,هتل سان رایز,,(۴),۳.۵,هرمزگان,کیش,(۳ ستاره)
kish-shabaviz,hotel,هتل شباویز,,(۴),۱.۹,هرمزگان,کیش,(۲ ستاره)
kish-sara,hotel,هتل سارا,,(۳۱),۳.۲,هرمزگان,کیش,(۴ ستاره)
kish-ghaem,hotel,هتل ریان قائم,,(۵۲),۲.۹,هرمزگان,کیش,(۳ ستاره)
kish-ana,hotel,هتل آنا,,(۱۱),۲.۴,هرمزگان,کیش,(۳ ستاره)
kish-fanos,hotel,هتل فانوس,,(۵),۲.۶,هرمزگان,کیش,(۲ ستاره)
kish-gardenia,hotel,هتل گاردنیا,,(۲۲),۲.۵,هرمزگان,کیش,(۳ ستاره)
kish-iran,hotel,هتل ایران,,(۲۵),۳.۷,هرمزگان,کیش,(۵ ستاره)
kish-tatilat,hotel,هتل تعطیلات,,(۹),۳.۵,هرمزگان,کیش,(۳ ستاره)
kish-sadaf,hotel,هتل صدف,,(۴۹),۳.۷,هرمزگان,کیش,(۴ ستاره)
gheshm-amir,hotel,هتل امیر,,(۹),۴.۵,هرمزگان,قشم,(۲ ستاره)
qeshm-saheltalaei,hotel,هتل ساحل طلایی,,(۷),۳.۳,هرمزگان,قشم,(۴ ستاره)
gheshm-zheo-park,hotel,هتل ژئو پارک قشم,,(۵),۳.۵,هرمزگان,قشم,(۳ ستاره)
gheshm-fulton,hotel,هتل بوتیک فولتون,,(۸),۳.۹,هرمزگان,قشم,(۳ ستاره)
qeshm-persian gulf,hotel,هتل پرشین گلف,,(۴۰),۲.۴,هرمزگان,قشم,(۳ ستاره)
qeshm-marina1,hotel,هتل مارینا ۱,,(۱۸),۲.۷,هرمزگان,قشم,(۳ ستاره)
kish-goldis,hotel,هتل گلدیس,,(۲۰),۳.۲,هرمزگان,کیش,(۳ ستاره)
kish-gamberon,hotel,هتل گامبرون,,(۵۳),۳.۱,هرمزگان,کیش,(۴ ستاره)
kish-shaygan,hotel,هتل شایگان,,(۳۵),۳.۹,هرمزگان,کیش,(۵ ستاره)
kish-tamasha,hotel,هتل تماشا,,(۶),۳,هرمزگان,کیش,(۲ ستاره)
kish-vida,hotel,هتل ویدا,,(۱۹),۴.۱,هرمزگان,کیش,(۵ ستاره)
kish-eram,hotel,هتل ارم,,(۵۲),۲.۳,هرمزگان,کیش,(۳ ستاره)
qeshm-aram,hotel,هتل آرام,,,,هرمزگان,قشم,(۳ ستاره)
gheshm-alvand2,hotel,هتل قصر الوند,,(۲),۳,هرمزگان,قشم,(۳ ستاره)
qeshm-suncity,hotel,هتل سان سیتی,,(۷),۲.۶,هرمزگان,قشم,(۳ ستاره)
gheshm-royal,hotel,هتل رویال,,(۵),۲.۴,هرمزگان,قشم,(۳ ستاره)
gheshm-kavan,hotel,هتل کاوان۳,,(۲),۲.۵,هرمزگان,قشم,(۲ ستاره)
